entity_type,name,output_path,translation_status,source_count,source_repos,unresolved,notes
agent,academic-research-synthesizer,agents/academic-research-synthesizer.toml,english,1,am-will/codex-skills,false,english-normalized
agent,academic-researcher,agents/academic-researcher.toml,english,1,am-will/codex-skills,false,english-normalized
agent,accessibility-expert,agents/accessibility-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,accessibility-specialist,agents/accessibility-specialist.toml,english,1,am-will/codex-skills,false,english-normalized
agent,accessibility-tester,agents/accessibility-tester.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,accessibility-wcag-auditor,agents/accessibility-wcag-auditor.toml,english,1,am-will/codex-skills,false,english-normalized
agent,actix-expert,agents/actix-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,ad-security-reviewer,agents/ad-security-reviewer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,agent-expert,agents/agent-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,agent-installer,agents/agent-installer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,agent-organizer,agents/agent-organizer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,agents-config-block,agents/agents-config-block.toml,english,1,am-will/codex-skills,false,english-normalized
agent,ai-engineer,agents/ai-engineer.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,android-expert,agents/android-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,angular-architect,agents/angular-architect.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,angular-expert,agents/angular-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,angularjs-expert,agents/angularjs-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,ansible-expert,agents/ansible-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,api-architect,agents/api-architect.toml,english,1,am-will/codex-skills,false,english-normalized
agent,api-designer,agents/api-designer.toml,english,3,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,api-documenter,agents/api-documenter.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,api-security-audit,agents/api-security-audit.toml,english,1,am-will/codex-skills,false,english-normalized
agent,arbitrage-bot,agents/arbitrage-bot.toml,english,1,am-will/codex-skills,false,english-normalized
agent,architect,agents/architect.toml,english,2,am-will/codex-skills,false,english-normalized
agent,architect-review,agents/architect-review.toml,english,1,am-will/codex-skills,false,english-normalized
agent,architect-reviewer,agents/architect-reviewer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,architecture-modernization-team,agents/architecture-modernization-team.toml,english,1,am-will/codex-skills,false,english-normalized
agent,arm-cortex-expert,agents/arm-cortex-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,aspnet-core-expert,agents/aspnet-core-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,astro-expert,agents/astro-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,audio-quality-controller,agents/audio-quality-controller.toml,english,1,am-will/codex-skills,false,english-normalized
agent,auth0-expert,agents/auth0-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,ava-expert,agents/ava-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,azure-infra-engineer,agents/azure-infra-engineer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,backend,agents/backend.toml,english,1,am-will/codex-skills,false,english-normalized
agent,backend-architect,agents/backend-architect.toml,english,1,am-will/codex-skills,false,english-normalized
agent,backend-delivery-team,agents/backend-delivery-team.toml,english,1,am-will/codex-skills,false,english-normalized
agent,backend-developer,agents/backend-developer.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,backend-security-coder,agents/backend-security-coder.toml,english,1,am-will/codex-skills,false,english-normalized
agent,backend-typescript-architect,agents/backend-typescript-architect.toml,english,1,am-will/codex-skills,false,english-normalized
agent,bash-expert,agents/bash-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,bash-pro,agents/bash-pro.toml,english,1,am-will/codex-skills,false,english-normalized
agent,blockchain-developer,agents/blockchain-developer.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,braintree-expert,agents/braintree-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,browser-debugger,agents/browser-debugger.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,build-engineer,agents/build-engineer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,bullmq-expert,agents/bullmq-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,bun-expert,agents/bun-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,business-analyst,agents/business-analyst.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,c-developer,agents/c-developer.toml,english,1,am-will/codex-skills,false,english-normalized
agent,c-expert,agents/c-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,c-pro,agents/c-pro.toml,english,1,am-will/codex-skills,false,english-normalized
agent,c4-code,agents/c4-code.toml,english,1,am-will/codex-skills,false,english-normalized
agent,c4-component,agents/c4-component.toml,english,1,am-will/codex-skills,false,english-normalized
agent,c4-container,agents/c4-container.toml,english,1,am-will/codex-skills,false,english-normalized
agent,c4-context,agents/c4-context.toml,english,1,am-will/codex-skills,false,english-normalized
agent,cassandra-expert,agents/cassandra-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,celery-expert,agents/celery-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,chaos-engineer,agents/chaos-engineer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,circleci-expert,agents/circleci-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,cli-developer,agents/cli-developer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,clojure-expert,agents/clojure-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,cloud-architect,agents/cloud-architect.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,cockroachdb-expert,agents/cockroachdb-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,code-archaeologist,agents/code-archaeologist.toml,english,1,am-will/codex-skills,false,english-normalized
agent,code-mapper,agents/code-mapper.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,code-reviewer,agents/code-reviewer.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,command-expert,agents/command-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,competitive-analyst,agents/competitive-analyst.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,compliance-auditor,agents/compliance-auditor.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,comprehensive-researcher,agents/comprehensive-researcher.toml,english,1,am-will/codex-skills,false,english-normalized
agent,conductor-validator,agents/conductor-validator.toml,english,1,am-will/codex-skills,false,english-normalized
agent,connection-agent,agents/connection-agent.toml,english,1,am-will/codex-skills,false,english-normalized
agent,content-marketer,agents/content-marketer.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,content-writer,agents/content-writer.toml,english,2,am-will/codex-skills,false,english-normalized
agent,context-manager,agents/context-manager.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,convex-expert,agents/convex-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,cpp-engineer,agents/cpp-engineer.toml,english,1,am-will/codex-skills,false,english-normalized
agent,cpp-expert,agents/cpp-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,cpp-pro,agents/cpp-pro.toml,english,2,"VoltAgent/awesome-codex-subagents,am-will/codex-skills",false,english-normalized
agent,crypto-analyst,agents/crypto-analyst.toml,english,1,am-will/codex-skills,false,english-normalized
agent,crypto-risk-manager,agents/crypto-risk-manager.toml,english,1,am-will/codex-skills,false,english-normalized
agent,crypto-trader,agents/crypto-trader.toml,english,1,am-will/codex-skills,false,english-normalized
agent,csharp-developer,agents/csharp-developer.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,csharp-expert,agents/csharp-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,csharp-pro,agents/csharp-pro.toml,english,1,am-will/codex-skills,false,english-normalized
agent,css-expert,agents/css-expert.toml,english,1,am-will/codex-skills,false,english-normalized
agent,customer-success-manager,agents/customer-success-manager.toml,english,1,VoltAgent/awesome-codex-subagents,false,english-normalized
agent,customer-support,agents/customer-support.toml,english,1,am-will/codex-skills,false,english-normalized
agent,cypress-expert,agents/cypress-expert.toml,english,1,am-will/codex-skills,false,english-normalized
